date,islet,glucose,cell_number,cell_type
20210630,P3H1,2mM,29,beta
20210714,P1H2,2mM,0,beta
20210714,P1H2,2mM,1,beta
20210714,P1H2,2mM,2,beta
20210714,P1H2,2mM,3,beta
20210714,P1H2,2mM,4,beta
20210714,P1H2,2mM,5,beta
20210714,P1H2,2mM,6,beta
20210714,P1H2,2mM,7,beta
20210714,P1H2,2mM,8,beta
20210714,P1H2,2mM,9,beta
20210714,P1H2,2mM,10,beta
20210714,P1H2,2mM,11,beta
20210714,P1H2,2mM,12,beta
20210714,P1H2,2mM,13,beta
20210714,P1H2,2mM,14,beta
20210714,P1H2,2mM,15,beta
20210714,P1H2,2mM,16,beta
20210714,P1H2,2mM,17,beta
20210714,P1H2,2mM,18,beta
20210714,P1H2,2mM,19,beta
20210714,P1H2,2mM,20,beta
20210714,P1H2,2mM,21,beta
20210714,P1H2,2mM,22,beta
20210714,P1H2,2mM,23,beta
20210714,P1H2,2mM,24,beta
20210714,P1H2,2mM,25,beta
20210714,P1H2,2mM,26,beta
20210714,P1H2,2mM,27,beta
20210714,P1H2,2mM,28,beta
20210714,P1H2,2mM,29,beta
20210714,P1H2,2mM,30,beta
20210714,P1H2,2mM,31,beta
20210714,P1H2,2mM,32,beta
20210714,P1H2,2mM,33,beta
20210714,P1H2,2mM,34,beta
20210714,P1H2,2mM,35,beta
20210714,P1H2,2mM,36,beta
20210714,P1H2,2mM,37,beta
20210714,P1H2,2mM,38,beta
20210714,P1H2,2mM,39,beta
20210714,P1H2,2mM,40,beta
20210714,P1H2,2mM,41,beta
20210714,P1H2,2mM,42,beta
20210714,P1H2,2mM,43,beta
20210714,P1H2,2mM,44,beta
20210714,P1H2,2mM,45,beta
20210714,P1H2,2mM,46,beta
20210714,P1H2,2mM,47,beta
20210714,P1H2,2mM,48,beta
20210714,P1H2,2mM,49,beta
20210714,P1H2,2mM,50,beta
20210714,P1H2,2mM,51,beta
20210714,P1H2,2mM,52,beta
20210714,P1H2,2mM,53,beta
20210714,P1H2,2mM,54,beta
20210714,P1H2,2mM,55,beta
20210714,P1H2,2mM,56,beta
20210714,P1H2,2mM,57,beta
20210714,P1H2,2mM,58,beta
20210714,P1H2,2mM,59,beta
20210714,P1H2,2mM,60,beta
20210714,P1H2,2mM,61,beta
20210714,P1H2,2mM,62,beta
20210714,P1H2,2mM,63,beta
20210714,P1H2,2mM,64,beta
20210714,P1H2,2mM,65,beta
20210714,P1H2,2mM,66,beta
20210714,P1H2,2mM,67,beta
20210714,P1H2,2mM,68,beta
20210714,P1H2,2mM,69,beta
20210714,P1H2,2mM,70,beta
20210714,P1H2,2mM,71,beta
20210714,P1H2,2mM,72,beta
20210714,P1H2,2mM,73,beta
20210714,P1H2,2mM,74,beta
20210714,P1H2,2mM,75,beta
20210714,P1H2,2mM,76,beta
20210714,P1H2,2mM,77,beta
20210714,P1H2,2mM,78,beta
20210714,P1H2,2mM,79,beta
20210714,P1H2,2mM,80,beta
